DeviceName,DeviceDateTime,BatteryStatus,CommId,GPS Confidence,GPS Fail Counter,GpsQuality,Latitude,Longitude
0-4351296,2023-03-09 23:09:49,GOOD,0-4351296,0,0,3,48.357986,-4.560549
0-4351902,2023-03-09 23:05:51,GOOD,0-4351902,0,0,3,48.358222,-4.560764
0-4351296,2023-03-09 23:04:47,GOOD,0-4351296,0,0,3,48.35805,-4.560463
0-4351902,2023-03-09 23:00:51,GOOD,0-4351902,0,0,3,48.358254,-4.560828
0-4351296,2023-03-09 22:59:48,GOOD,0-4351296,0,0,3,48.35805,-4.560528
0-4351902,2023-03-09 22:55:52,GOOD,0-4351902,0,0,3,48.358276,-4.560699
0-4351296,2023-03-09 22:54:49,GOOD,0-4351296,0,0,3,48.358115,-4.560463
0-4351296,2023-03-09 22:49:46,GOOD,0-4351296,0,0,3,48.358104,-4.560463
0-4351902,2023-03-09 22:45:54,GOOD,0-4351902,0,0,3,48.358351,-4.560571
0-4351296,2023-03-09 22:44:46,GOOD,0-4351296,0,0,3,48.358179,-4.560399
0-4351902,2023-03-09 22:40:52,GOOD,0-4351902,0,0,3,48.358319,-4.560635
0-4351296,2023-03-09 22:39:45,GOOD,0-4351296,0,0,3,48.358158,-4.560463
0-4351902,2023-03-09 22:35:53,GOOD,0-4351902,0,0,3,48.358329,-4.560614
0-4351296,2023-03-09 22:34:47,GOOD,0-4351296,0,0,3,48.358233,-4.560399
0-4351902,2023-03-09 22:30:51,GOOD,0-4351902,0,0,3,48.358383,-4.560571
0-4351296,2023-03-09 22:29:46,GOOD,0-4351296,0,0,3,48.358243,-4.56042
0-4351902,2023-03-09 22:25:53,GOOD,0-4351902,0,0,3,48.358383,-4.560571
0-4351296,2023-03-09 22:24:45,GOOD,0-4351296,0,0,3,48.358276,-4.560399
0-4351902,2023-03-09 22:20:52,GOOD,0-4351902,0,0,3,48.358394,-4.560549
0-4351296,2023-03-09 22:19:50,GOOD,0-4351296,0,0,3,48.358276,-4.560378
0-4351902,2023-03-09 22:15:56,GOOD,0-4351902,0,0,3,48.358426,-4.560463
0-4351296,2023-03-09 22:14:50,GOOD,0-4351296,0,0,3,48.358265,-4.560378
0-4351902,2023-03-09 22:05:55,GOOD,0-4351902,0,0,3,48.358361,-4.560635
0-4351296,2023-03-09 22:04:46,GOOD,0-4351296,0,0,3,48.358179,-4.56042
0-4351902,2023-03-09 22:00:55,GOOD,0-4351902,0,0,3,48.358351,-4.560506
0-4351296,2023-03-09 21:59:46,GOOD,0-4351296,0,0,3,48.358083,-4.560506
